"original address",latitude,longitude
"Iran (Islamic Rep. of)",38.470354,47.057119
"Iraq",33.223191,43.679291
"Ireland",53.41291,-8.24389
"Israel",31.046051,34.851612
"Italy",41.87194,12.56738
"Jamaica",18.109581,-77.297508
"Japan",36.204824,138.252924
"Jordan",30.585164,36.238414
"Kazakhstan",48.019573,66.923684
"Kenya",-0.023559,37.906193
"Kiribati",1.870883,-157.363026
"Kuwait",29.31166,47.481766
"Kyrgyzstan",41.20438,74.766098
"Lao People's Dem. Rep.",,
"Latvia",56.879635,24.603189
"Lebanon",33.854721,35.862285
"Lesotho",-29.609988,28.233608
"Liberia",6.428055,-9.429499
"Libya",26.3351,17.228331
"Liechtenstein",47.166,9.555373
"Lithuania",55.169438,23.881275
"Luxembourg",49.815273,6.129583
"Madagascar",-18.766947,46.869107
"Malawi",-13.254308,34.301525
"Malaysia",4.210484,101.975766
"Maldives",1.977247,73.536103
"Mali",17.570692,-3.996166
"Malta",35.937496,14.375416
"Mauritania",21.00789,-10.940835
"Mauritius",-20.348404,57.552152
"Mexico",23.634501,-102.552784
"Monaco",43.738418,7.424616
"Mongolia",46.862496,103.846656
"Montenegro",42.708678,19.37439
"Morocco",31.791702,-7.09262
"Mozambique",-18.665695,35.529562
"Myanmar",21.913965,95.956223
"Namibia",-22.95764,18.49041
"Nepal",28.394857,84.124008
"Netherlands",52.132633,5.291266
"New Zealand",-40.900557,174.885971
"Nicaragua",12.865416,-85.207229
"Niger",17.607789,8.081666
"Nigeria",9.081999,8.675277
"Norway",60.472024,8.468946
"Oman",21.512583,55.923255
"Pakistan",30.375321,69.345116
"Palau",7.51498,134.58252
"Palestinian",32.180952,-95.849365
"Panama",8.537981,-80.782127
"Papua New Guinea",-6.314993,143.95555
"Paraguay",-23.442503,-58.443832
"Peru",-9.189967,-75.015152
"Philippines",12.879721,121.774017
"Poland",51.919438,19.145136
"Portugal",39.399872,-8.224454
"Qatar",25.354826,51.183884
"Rep. of Korea",39.079117,121.753251
"Rep. of Moldova",,
"Romania",45.943161,24.96676
"Russian Federation",61.52401,105.318756
"Rwanda",-1.940278,29.873888
"Saint Lucia",13.909444,-60.978893
"Saint Vincent and the Grenadines",13.252818,-61.197163
"Samoa",-13.759029,-172.104629
"Sao Tome and Principe",0.18636,6.613081
"Saudi Arabia",23.885942,45.079162
"Senegal",14.497401,-14.452362
"Serbia and Kosovo (S/RES/1244 (1999))",,
"Seychelles",-4.679574,55.491977
"Sierra Leone",8.460555,-11.779889
"Singapore",1.352083,103.819836
"Slovakia",48.669026,19.699024
"Slovenia",46.151241,14.995463
"Solomon Islands",-9.64571,160.156194
"Somalia",5.152149,46.199616
"South Africa",-30.559482,22.937506
"South Sudan",6.876992,31.306979
"Spain",40.463667,-3.74922
"Sri Lanka",7.873054,80.771797
"Stateless",35.703207,139.685175
"Sudan",12.862807,30.217636
"Suriname",3.919305,-56.027783
"Swaziland",-26.522503,31.465866
"Sweden",60.128161,18.643501
"Switzerland",46.818188,8.227512
"Syrian Arab Rep.",,
"Tajikistan",38.861034,71.276093
"Thailand",15.870032,100.992541
"The former Yugoslav Republic of Macedonia",41.608635,21.745275
"Togo",8.619543,0.824782
"Tonga",-21.178986,-175.198242
"Trinidad and Tobago",10.691803,-61.222503
"Tunisia",33.886917,9.537499
"Turkey",38.963745,35.243322
"Turkmenistan",38.969719,59.556278
"Tuvalu",-7.478442,178.679921
"Uganda",1.373333,32.290275
"Ukraine",48.379433,31.16558
"United Arab Emirates",23.424076,53.847818
"United Kingdom",55.378051,-3.435973
"United Rep. of Tanzania",40.7567,-73.966463
"United States of America",37.09024,-95.712891
"Uruguay",-32.522779,-55.765835
"Uzbekistan",41.377491,64.585262
"Various/Unknown",,
"Venezuela (Bolivarian Republic of)",15.580273,32.548808
"Viet Nam",14.058324,108.277199
"Yemen",15.552727,48.516388
"Zambia",-13.133897,27.849332
"Zimbabwe",-19.015438,29.154857
"Grand Total",51.503088,-0.190867
